Calories,"Calories from
Fat","Saturated Fat
(g)","Trans Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)"
290,,7,0,<5,580,40,2,17,4
390,,4,0,120,1190,11,2,0,39
130,,1.5,0,55,430,4,1,0,12
280,,4.5,0,100,910,8,1,0,19
130,,2,0,55,380,3,0,0,10
770,,10,0,105,1530,21,1,1,35
250,,3.5,0,50,530,6,1,0,11
500,,7,0,100,970,11,1,1,22
290,,4,0,45,520,6,1,1,10
260,,3,0,130,790,1,0,0,38
100,,1.5,0,55,260,0,0,0,11
180,,3.5,0,90,470,0,0,0,17
90,,1.5,0,45,210,1,0,0,9
540,,7,0,100,1390,14,2,1,31
190,,2.5,0,40,510,6,1,0,9
390,,6,0,65,900,12,2,1,13
180,,2.5,0,35,450,5,1,0,8
530,,6,0,105,1150,18,0,0,35
170,,2,0,50,390,5,0,0,10
330,,4.5,0,100,700,9,0,0,22
170,,2,0,45,340,5,0,0,10
210,,2,0,130,710,0,0,0,38
80,,1,0,55,220,0,0,0,11
150,,3,0,90,420,0,0,0,17
70,,1,0,45,180,0,0,0,9
350,,3.5,0,100,1100,11,1,0,30
130,,1.5,0,40,420,5,1,0,9
270,,3.5,0,65,720,10,1,0,13
120,,1.5,0,35,350,5,0,0,7
260,,2,0,50,610,15,<1,0,19
220,,2.5,0,25,460,9,<1,0,10
100,,1.5,0,20,310,3,0,0,5
100,,1,0,20,210,8,0,4,5
130,,2,0,20,230,4,0,0,5
80,,1,0,20,150,3,0,0,5
290,,2.5,0,30,870,19,1,0,13
620,,5,0,65,1820,39,2,0,27
190,,0,0,0,650,34,7,15,11
180,,4.5,0,0,520,22,1,1,4
170,,2,0,<5,180,14,4,10,1
70,,0,0,0,0,17,2,3,2
25,,0,0,0,300,5,3,1,1
210,,1.5,0,35,240,28,<1,11,3
140,,1.5,0,<5,590,17,1,2,5
140,,1,0,15,290,14,0,9,1
110,,0.5,0,0,330,17,1,0,2
130,,1,0,0,520,20,1,0,3
340,,4.5,0,25,290,19,2,3,2
320,,2,0,0,1100,41,3,0,5
70,,0,0,0,0,16,2,2,2
830,,1,0,0,2810,148,31,63,47
640,,7,0,15,670,54,14,37,4
280,,0,0,0,15,67,8,11,9
80,,0,0,0,930,15,9,3,4
540,,6,0,10,2220,66,5,8,18
480,,3.5,0,55,990,50,0,30,3
460,,3,0,0,1410,72,6,0,9
590,,5,0,0,2590,88,6,1,12
1200,,16,0,80,1010,65,8,12,8
840,,5,0,0,2890,108,9,0,13
280,,0,0,0,10,67,7,8,10
300,,2.5,0,30,620,27,1,3,14
310,,2.5,0,30,790,27,1,3,14
320,,2.5,0,30,680,31,1,7,14
340,,3,0,30,680,27,1,3,14
650,,4.5,0,90,1260,49,1,6,34
470,,3.5,0,60,1170,39,<1,4,24
500,,4,0,60,1500,39,<1,4,24
510,,3.5,0,60,1290,48,<1,12,24
540,,4.5,0,60,1290,40,<1,5,24
630,,7,0,70,1260,53,4,3,28
350,,0.5,0,55,1350,55,2,22,24
620,,4,0,85,2140,49,1,6,34
720,,25,0,80,1750,60,7,5,26
740,,6,0,45,2350,81,6,2,26
270,,3.5,0,20,850,27,2,1,11
40,,1,0,5,90,2,1,1,3
15,,0,0,0,10,3,2,2,1
160,,2,0,10,220,1,0,1,0
35,,0,0,0,410,8,0,2,1
260,,5,0,15,540,4,0,2,2
15,,0,0,0,510,2,0,1,0
60,,0,0,0,135,8,<1,0,2
230,,2.5,0,0,140,32,<1,12,2
300,,3,0,50,260,39,1,27,4
220,,2,0,30,170,30,0,20,2
300,,2.5,0,40,190,49,1,35,3
300,,2.5,0,50,230,43,0,31,3
120,,3,0,<5,70,18,1,12,1
270,,8,0,<5,210,35,1,24,3
300,,9,0,<5,270,33,1,22,5
45,,0,0,0,150,11,0,11,0
35,,1.5,0,0,35,0,0,0,0
35,,0,0,0,10,9,0,7,0
110,,1.5,0,<5,120,6,0,6,0
30,,0,0,0,0,8,0,5,0
30,,0,0,0,250,8,0,6,0
90,,1.5,0,10,170,5,0,5,0
5,,0,0,0,20,1,0,0,0
130,,2.5,0,10,240,2,0,1,0
35,,0,0,0,0,9,0,6,0
80,,0,0,0,25,21,0,20,0
150,,1.5,0,10,170,26,0,23,7
90,,1.5,0,10,105,10,0,10,7
45,,0,0,0,0,12,1,8,0
140,,0,0,0,50,35,0,35,0
190,,0,0,0,70,46,0,46,0
240,,0,0,0,85,58,0,58,0
350,,0,0,0,125,87,0,87,0
880,,0,0,0,780,234,0,228,0
140,,0,0,0,130,39,0,38,0
170,,0,0,0,50,46,0,46,0
230,,0,0,0,65,62,0,62,0
290,,0,0,0,85,77,0,77,0
430,,0,0,0,125,116,0,115,0
0,,0,0,0,70,0,0,0,0
0,,0,0,0,95,0,0,0,0
0,,0,0,0,120,0,0,0,0
0,,0,0,0,180,0,0,0,0
0,,0,0,0,35,0,0,0,0
0,,0,0,0,50,0,0,0,0
0,,0,0,0,60,0,0,0,0
5,,0,0,0,95,0,0,0,0
0,,0,0,0,55,1,0,0,0
5,,0,0,0,75,1,0,0,0
10,,0,0,0,90,1,0,1,0
10,,0,0,0,140,1,0,1,0
0,,0,0,0,55,0,0,0,0
0,,0,0,0,75,0,0,0,0
0,,0,0,0,95,0,0,0,0
0,,0,0,0,140,0,0,0,0
0,,0,0,0,35,0,0,0,0
0,,0,0,0,50,0,0,0,0
0,,0,0,0,60,0,0,0,0
0,,0,0,0,95,0,0,0,0
140,,0,0,0,45,39,0,38,0
190,,0,0,0,60,52,0,51,0
240,,0,0,0,75,65,0,64,0
360,,0,0,0,110,98,0,96,0
80,,0,0,0,40,22,0,22,0
110,,0,0,0,55,29,0,29,0
140,,0,0,0,70,36,0,36,0
210,,0,0,0,105,55,0,54,0
0,,0,0,0,105,0,0,0,0
0,,0,0,0,140,0,0,0,0
5,,0,0,0,180,0,0,0,0
10,,0,0,0,270,0,0,0,0
80,,0,0,0,45,20,0,20,0
100,,0,0,0,55,26,0,26,0
130,,0,0,0,70,33,0,33,0
190,,0,0,0,110,49,0,49,0
80,,0,0,0,45,22,0,21,0
110,,0,0,0,65,29,0,29,0
130,,0,0,0,80,36,0,36,0
200,,0,0,0,120,54,0,54,0
0,,0,0,0,45,0,0,0,0
0,,0,0,0,60,0,0,0,0
0,,0,0,0,75,0,0,0,0
0,,0,0,0,115,0,0,0,0
160,,0,0,0,35,42,0,42,0
210,,0,0,0,45,57,0,57,0
260,,0,0,0,55,71,0,71,0
400,,0,0,0,80,106,0,106,0
160,,0,0,0,70,44,0,44,0
220,,0,0,0,95,58,0,58,0
270,,0,0,0,120,73,0,73,0
410,,0,0,0,180,109,0,109,0
150,,0,0,0,35,41,0,41,0
200,,0,0,0,45,54,0,54,0
260,,0,0,0,55,68,0,68,0
380,,0,0,0,80,101,0,101,0
120,,0,0,0,190,32,0,25,0
160,,0,0,0,50,44,0,44,0
220,,0,0,0,70,59,0,58,0
270,,0,0,0,85,73,0,73,0
410,,0,0,0,125,110,0,109,0
140,,0,0,0,45,39,0,39,0
190,,0,0,0,60,52,0,52,0
240,,0,0,0,75,65,0,65,0
360,,0,0,0,110,98,0,98,0
0,,0,0,0,35,0,0,0,0
0,,0,0,0,50,0,0,0,0
0,,0,0,0,60,0,0,0,0
0,,0,0,0,95,1,0,0,0
150,,0,0,0,30,41,0,41,0
200,,0,0,0,45,55,0,55,0
250,,0,0,0,55,69,0,69,0
380,,0,0,0,80,104,0,103,0
0,,0,0,0,45,0,0,0,0
0,,0,0,0,65,0,0,0,0
0,,0,0,0,80,0,0,0,0
5,,0,0,0,120,1,0,0,0
950,,0,0,0,790,270,0,264,0
170,,0,0,0,130,45,0,44,0
170,,0,0,0,35,45,0,45,0
230,,0,0,0,45,60,0,60,0
280,,0,0,0,60,75,0,75,0
420,,0,0,0,90,113,0,112,0
5,,0,0,0,140,0,0,0,0
10,,0,0,0,190,0,0,0,0
10,,0,0,0,240,0,0,0,0
15,,0,0,0,350,1,0,0,0
150,,0,0,0,160,40,0,40,0
210,,0,0,0,210,53,0,53,0
260,,0,0,0,260,67,0,67,0
390,,0,0,0,390,100,0,100,0
170,,0,0,0,35,46,0,46,0
230,,0,0,0,50,61,0,61,0
290,,0,0,0,60,76,0,76,0
430,,0,0,0,90,115,0,114,0
160,,0,0,0,30,42,0,42,0
210,,0,0,0,40,56,0,56,0
260,,0,0,0,50,70,0,70,0
390,,0,0,0,80,105,0,105,0
360,,7,1,35,750,22,2,0,13
390,,7,1,35,910,26,2,0,13
300,,2,0,210,770,18,<1,0,20
230,,2.5,0,285,750,12,0,0,17
440,240,5,0,50,840,31,2,3,20
120,0,0,0,0,35,30,0,30,0
150,0,0,0,0,40,38,0,38,0
250,110,4.5,0,25,610,24,3,2,10
140,0,0,0,0,35,35,0,34,0
170,0,0,0,0,40,43,0,42,0
320,160,1.5,0,<5,630,35,4,2,4
710,360,6,0,30,1440,73,10,4,13
330,140,3,0,10,430,39,5,3,10
630,270,10,0,35,1260,73,7,5,19
650,300,12,0.5,55,1390,67,6,5,22
350,170,5,0,25,560,33,4,3,13
330,140,3.5,0,35,560,31,2,3,16
330,140,4,0,30,530,32,2,3,15
500,250,10,0.5,55,850,41,5,4,20
170,80,3.5,0,25,310,13,3,<1,8
190,100,4.5,0,25,340,15,3,2,8
250,110,4.5,0,25,610,24,3,2,10
170,80,3.5,0,25,360,13,3,<1,8
190,100,4.5,0,30,380,15,3,2,8
180,80,4,0,25,500,17,3,1,9
160,50,2.5,0,30,500,16,1,1,12
 , , , , , , , , , 
210,90,5,0,25,520,20,3,2,10
180,60,3.5,0,35,520,18,2,2,13
350,80,3.5,0,5,1000,54,11,3,13
490,160,7,0,30,1250,63,9,5,18
390,130,6,0,25,1110,51,9,4,16
370,100,4.5,0,35,1110,49,8,4,19
370,110,5,0,30,1090,49,7,4,18
370,150,8,0,35,970,40,4,2,16
650,300,12,0.5,55,1390,67,6,5,22
620,270,11,0,65,1390,66,4,4,25
630,270,11,0,60,1370,66,4,4,24
220,120,1.5,0,<5,250,24,2,2,2
320,160,1.5,0,<5,630,35,4,2,4
710,360,6,0,30,1440,73,10,4,13
740,340,7,0,25,1050,82,15,5,16
720,310,6,0,35,1050,81,14,5,20
720,320,6,0,30,1030,81,14,5,19
650,300,12,0.5,55,1390,67,6,5,22
630,270,10,0,35,1260,73,7,5,19
470,230,12,0.5,50,990,37,4,2,19
510,240,12,0.5,75,1250,38,4,2,27
520,240,12,0.5,70,1230,38,4,2,27
440,240,5,0,50,840,31,2,3,20
330,140,3,0,10,430,39,5,3,10
510,160,4.5,0,5,1080,77,8,6,13
630,270,10,0,35,1260,73,7,5,19
350,170,5,0,25,560,33,4,3,13
500,250,10,0.5,55,850,41,5,4,20
180,80,5,0,20,430,15,2,<1,9
530,190,6,0,25,1200,71,6,6,16
170,80,3.5,0,25,310,13,3,<1,8
170,80,3.5,0,25,360,13,3,<1,8
740,340,7,0,25,1050,82,15,5,16
470,170,6,0,70,1200,50,7,2,26
510,240,12,0.5,75,1250,38,4,2,27
650,300,12,0.5,55,1390,67,6,5,22
180,80,4,0,25,500,17,3,1,9
210,90,5,0,25,520,20,3,2,10
430,160,5,0,20,810,57,10,2,12
170,30,0,0,0,320,31,4,0,4
50,10,0,0,0,135,8,3,0,2
160,80,2,0,5,80,17,0,10,2
930,480,13,2,40,480,104,3,59,9
170,50,0,0,0,210,27,<1,13,1
0,0,0,0,0,30,0,0,0,0
0,0,0,0,0,55,0,0,0,0
0,0,0,0,0,45,0,0,0,0
0,0,0,0,0,30,0,0,0,0
120,0,0,0,0,35,30,0,30,0
150,0,0,0,0,40,38,0,38,0
190,0,0,0,0,50,49,0,47,0
230,0,0,0,0,60,59,0,57,0
100,20,1.5,0,10,130,13,0,12,9
80,20,1.5,0,10,100,10,0,9,7
140,0,0,0,0,35,35,0,34,0
170,0,0,0,0,40,43,0,42,0
150,0,0,0,0,45,41,0,41,0
190,0,0,0,0,55,51,0,51,0
140,0,0,0,0,20,33,<1,28,2
10,0,0,0,0,0,0,0,0,2
10,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,40,41,0,41,0
190,0,0,0,0,55,51,0,51,0
430,170,5,0,20,970,51,4,3,12
420,140,4,0,<5,880,56,7,3,10
180,80,5,0,20,430,15,2,<1,9
190,80,3,0,35,530,15,1,<1,12
220,120,1.5,0,<5,250,24,2,2,2
170,50,0,0,0,210,27,<1,13,1
250,110,4.5,0,25,610,24,3,2,10
350,80,3.5,0,5,1000,54,11,3,13
330,140,3,0,10,430,39,5,3,10
510,160,4.5,0,5,1080,77,8,6,13
630,270,10,0,35,1260,73,7,5,19
170,30,0,0,0,320,31,4,0,4
470,230,12,0.5,50,990,37,4,2,19
420,140,4,0,<5,880,56,7,3,10
180,80,5,0,20,430,15,2,<1,9
220,120,1.5,0,<5,250,24,2,2,2
160,80,2,0,5,80,17,0,10,2
930,480,13,2,40,480,104,3,59,9
170,50,0,0,0,210,27,<1,13,1
160,100,1,0,0,270,13,2,0,1
430,160,5,0,20,810,57,10,2,12
470,170,6,0,70,1200,50,7,2,26
480,180,7,0,60,1150,51,7,2,25
430,160,5,0,20,810,57,10,2,12
670,370,12,0,140,1270,50,4,3,21
720,430,15,0,145,1210,51,4,3,21
660,350,12,0,145,1300,51,4,3,24
0,0,0,0,0,50,<1,0,0,0
350,150,4.5,0,115,870,36,2,3,13
340,130,3.5,0,100,750,43,3,3,10
340,160,5,0,110,730,36,2,3,11
160,80,2,0,5,80,17,0,10,2
930,480,13,2,40,480,104,3,59,9
560,270,10,0,230,1290,49,4,3,24
560,280,10,0,230,1150,49,4,3,22
560,250,9,0,240,1310,50,4,3,27
160,100,1,0,0,270,13,2,0,1
570,300,10,0,135,1270,49,4,2,21
570,300,10,0,130,1130,49,4,2,18
570,270,9,0,140,1290,50,4,2,24
190,,,,70,46,,,46,
100,,,,50,26,,,26,
0,,,,60,0,,,0,
0,,,,95,0,,,0,
5,,,,75,1,,,1,
0,,,,75,0,,,0,
190,,,,60,52,,,51,
30,,,,140,7,,,6,
220,,,,70,59,,,58,
220,,,,65,59,,,59,
5,,,,70,0,,,0,
70,,,,75,18,,,18,
190,,,,60,52,,,52,
200,,,,45,55,,,55,
210,,,,40,56,,,56,
0,,,,85,0,,,0,
200,,,,45,54,,,54,
210,,,,210,53,,,53,
240,,,,85,58,,,58,
120,,,,60,32,,,32,
0,,,,75,0,,,0,
0,,,,120,0,,,0,
10,,,,90,1,,,1,
0,,,,95,0,,,0,
240,,,,75,65,,,64,
35,,,,180,9,,,8,
270,,,,85,73,,,73,
280,,,,80,74,,,73,
10,,,,85,0,,,0,
90,,,,90,23,,,22,
240,,,,75,65,,,65,
250,,,,55,69,,,69,
260,,,,50,70,,,70,
0,,,,105,0,,,0,
260,,,,55,68,,,68,
260,,,,260,67,,,67,
 ,,,, , ,,, ,
 ,,,, , ,,, ,
350,,,,125,87,,,87,
180,,,,90,48,,,48,
0,,,,115,0,,,0,
0,,,,180,1,,,0,
10,,,,140,1,,,1,
0,,,,140,0,,,0,
360,,,,110,98,,,96,
50,,,,270,13,,,12,
410,,,,125,110,,,109,
420,,,,120,110,,,110,
15,,,,125,0,,,0,
130,,,,140,34,,,33,
360,,,,110,98,,,98,
380,,,,80,104,,,103,
390,,,,80,105,,,105,
0,,,,160,<1,,,0,
380,,,,80,101,,,101,
390,,,,390,100,,,100,
280,,6,0,30,560,31,2,2,13
330,,7,0,40,720,30,2,2,14
320,,6,0,35,640,31,2,2,14
290,,6,0,30,570,31,2,2,13
180,,2,0,15,370,25,1,8,8
270,,4,0,25,450,33,2,6,11
380,,6,0,35,650,43,2,7,16
240,,4.5,0,15,470,29,2,1,10
350,,6,0,25,680,38,3,2,14
160,,2,0,15,570,22,1,2,7
240,,3.5,0,20,680,31,2,2,11
350,,5,0,30,850,40,2,2,15
150,,2.5,0,15,310,17,1,2,7
250,,4.5,0,25,450,28,2,1,11
360,,7,0,35,660,37,2,2,16
180,,3,0,20,350,17,1,2,9
270,,4.5,0,30,470,27,2,1,12
390,,7,0,40,680,35,2,2,18
150,,2,0,15,330,18,1,3,8
240,,3.5,0,20,480,29,2,2,12
350,,5,0,30,690,38,2,3,17
210,,4.5,0,25,460,18,1,2,9
320,,6,0,35,640,28,2,1,13
470,,10,0,50,940,37,2,2,19
150,,2.5,0,15,310,17,1,2,6
250,,4.5,0,25,470,28,2,1,10
370,,6,0,35,680,36,2,2,15
180,,3.5,0,20,370,17,1,2,8
300,,6,0,35,580,28,2,1,13
440,,9,0.5,50,850,37,3,2,19
170,,3,0,15,360,18,1,2,7
270,,5,0,25,500,29,2,2,11
390,,7,0,40,740,37,2,2,16
170,,3.5,0,15,330,17,1,2,8
270,,5,0,25,470,27,2,1,12
390,,8,0,40,670,36,2,2,17
140,,2,0,10,290,18,1,2,6
230,,3.5,0,15,420,29,2,2,9
330,,5,0,25,620,38,3,3,14
140,,2,0,15,250,20,1,4,6
220,,3,0,20,390,31,2,6,10
300,,4.5,0,30,530,40,2,7,14
200,,3.5,0,15,410,26,2,1,9
280,,5,0,20,560,35,3,2,12
130,,1.5,0,10,380,19,<1,<1,6
200,,2.5,0,20,560,28,2,1,9
270,,4,0,30,740,37,2,2,13
130,,2,0,10,250,17,1,<1,6
210,,3.5,0,20,390,26,2,1,10
290,,5,0,30,540,34,3,2,13
150,,2.5,0,15,270,16,1,<1,7
230,,4,0,25,410,25,2,1,11
310,,5,0,35,560,33,2,1,16
130,,1.5,0,10,270,17,1,1,7
210,,3,0,20,420,27,2,2,10
280,,4,0,30,580,36,3,3,15
180,,3.5,0,20,370,17,1,<1,7
290,,6,0,30,590,26,2,1,12
390,,8,0,45,830,34,3,2,17
130,,2,0,10,260,16,1,<1,6
220,,4,0,20,420,25,2,1,9
300,,6,0,30,590,34,3,2,13
160,,3,0,20,310,17,1,<1,7
270,,6,0,35,530,26,2,1,12
370,,8,0,50,740,35,3,2,17
150,,2.5,0,15,280,17,1,1,6
240,,4,0,25,450,26,2,2,10
320,,6,0,35,630,35,3,2,14
150,,2.5,0,15,250,16,1,<1,6
230,,4.5,0,25,390,25,2,1,11
310,,6,0,35,540,33,2,1,15
120,,1.5,0,10,230,17,1,1,5
200,,2.5,0,15,370,27,2,2,8
260,,4,0,20,510,36,3,3,11
